動画,動画のタイトル,動画公開時刻,低評価数,高評価数,視聴回数,総再生時間（時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
aa4PMb8C4AM,【射影幾何】バラバラな3つの定義を統一！ 射影幾何の面白さに入門しよう【2次曲線】 #083 #VRアカデミア,"Nov 20, 2020",0,271,3496,414.4757,50,950.489,107732,1.83
bwuc1gtoWMg,【1分 Google Spreadsheet 解説 3-1 】苦手な人も多い？ VLOOKUP() を解説します【 VLOOKUP() TRUE 編 】 #VRアカデミア #028_1,"Apr 8, 2019",0,27,774,18.3339,5,113.952,44042,1.09
cGpYXfwTlKI,【LIVE】アイシアちゃんっょっょ計画【#2 on 2019/07/16】 #VRアカデミア,,0,10,188,10.5979,0,16.365,1096,12.68
cKt4vHG_8No,【C95 東2 U-43b】コミケのグッズ紹介！【買いに来てね！】 #VRアカデミア #018,"Dec 30, 2018",0,15,422,13.0051,-3,28.24,42777,0.58
dFm9bTP53cA,【LIVE】強化学習で将棋を指したい！【part8. 将棋所を動かしたい】 #VRアカデミア,"Sep 26, 2021",0,22,772,46.2581,0,99.884,29742,1.77
du-hz9SVjj8,【深層学習】ALBERT - BERT の軽量版！Multi-Head Attention の新たな可能性【ディープラーニングの世界vol.36】#119 #VRアカデミア #DeepLearning,"Oct 22, 2021",0,90,2244,243.6516,3,1260.752,137616,1.06
fETl2V2to6E,【LIVE】 質問に答えます【データサイエンスのリアルと未来】 #VRアカデミア,,0,10,156,8.1009,0,21.609,7778,1.35
gVZ5qCoRxgo,【あなたはS？】logistic sigmoid function について語るよ！【関数語り】 #VRアカデミア #010,"Oct 22, 2018",0,392,10049,1359.2754,78,4306.992,162320,3.51
ge50i7rLbTk,【LIVE】アイシアちゃんっょっょ計画【#4 on 2020/04/01】 #VRアカデミア,,0,8,150,37.4704,0,315.763,947,6.65
iuo6R-LqCkc,【週末微分幾何 #05】のんびり解説【データサイエンティストは微分幾何を学ぼう！】 ～多様体の内在的定義～ #VRアカデミア,"Sep 30, 2018",0,0,38,0.5045,-1,0,334,1.2
mLTc3soOkHA,【1分 Google Spreadsheet 解説 3-2 】FALSE なのにこっちをよく使う【 VLOOKUP() FALSE 編 】 #VRアカデミア #028_2,"Apr 9, 2019",0,11,509,10.9259,1,76.791,43706,0.72
n1QYofU3_hY,【深層学習】Scaling Law - 大きい Transformer は強い【ディープラーニングの世界vol.38】#123 #VRアカデミア #DeepLearning,"Dec 10, 2021",0,98,2137,244.7517,15,1038.662,126197,1.03
n9W_z9ETDBQ,【LightGBM】ドキュメントを読む生放送【完全理解】 #VRアカデミア,,0,4,116,10.9906,1,0,895,7.71
oVHBSRrLrxw,【1分 Google Spreadsheet 解説 1-4 】掛け算と足し算を同時に！【 SUMPRODUCT() 関数】 #VRアカデミア #026_4,"Mar 28, 2019",0,19,855,14.6984,2,196.51,41155,1.21
p80YL5x_FpI,【東工大2019第1問】なんてきれいな不等式なんだ…！【Weitzenbockの不等式】 #VRアカデミア #025,"Mar 5, 2019",0,91,3780,292.7043,40,794.401,70827,3.4
pAOV6RWt-xM,【数量化III類の数理④】謎の固有値問題は特異値分解による往復移動なのだ【数量化理論 - 数理編 vol. 8】 #121 #VRアカデミア,"Nov 12, 2021",0,62,1529,108.9144,2,572.034,107842,0.91
qwjuDwWAQzI,【LIVE】 誕生日前夜に雑談してみる,"May 30, 2020",0,27,918,150.208,0,1702.228,64464,0.87
rQeLoNjHlDQ,【LIVE】 VCI で遊ぶだけ,"May 30, 2020",0,7,635,32.2449,-2,59.007,59258,0.63
ry63Qw5S69k,【数量化理論】数量化I類とその数式 - カテゴリ変数を反応に合わせて数値化する【いろんな分析 vol. 8 】 #071 #VRアカデミア #またの名をカテゴリ変数の回帰分析,"Aug 28, 2020",0,255,7316,783.8073,63,2558.369,133603,3.11
sP-Y4bsBiyo,【LIVE】強化学習で将棋を指したい！【part6. dlshogiを動いたはず】 #VRアカデミア,"Aug 15, 2021",0,37,2238,157.275,2,470.013,136724,1.14
sZe4rKltD5M,【おべんきょう実況】 GCP でっょっょになりたい ~2019/05/03 編 ~ 【 Google CLoud Training 】 #VRアカデミア,,0,11,213,26.873,1,0,1756,8.31
szY-gk3ANdU,【深層学習】GPT-3 ③ 社会的影響編 - AIを誤用しないために【ディープラーニングの世界vol.41】#127 #VRアカデミア #DeepLearning,"Jan 28, 2022",0,98,1641,163.9432,10,917.325,86136,1.09
tFOdpehlvQU,テスト生配信,,0,5,178,20.2422,1,0,2244,4.9
tHhQ1sM2-_w,【LIVE】数学カフェ直前生配信！,"Jan 16, 2021",0,18,704,19.9999,0,110,9520,4.65
tplBsP4Ui4g,アイシアの朝生放送 20180816,"Aug 15, 2018",0,0,15,0.3827,0,0,134,5.22
x6G7nh7ENEk,【1分 Google Spreadsheet 解説 2-3 】文字列抽出マスターへの道【 MID() 関数】 #VRアカデミア #027_3,"Apr 3, 2019",0,17,561,14.2519,2,84.024,40126,0.76
yJWypmin4L4,【過去問解説】平面でズバズバしていくぜ！【東工大 2019 第4問】 #VRアカデミア,"Mar 10, 2019",0,38,2083,358.3625,15,142.325,47114,2.88
zi7v2Ow1p14,"【1分 Google Spreadsheet 解説 2-5 】文字列をくっつけちゃおう！【 CONCATENATE(), JOIN() 】 #VRアカデミア #027_5","Apr 5, 2019",0,12,537,9.3515,1,51.465,40051,0.8
zsaaDtazjBc,【四元数とは】バ美肉3次元回転講座！ 【オイラー角とは】 #VRアカデミア,"Aug 11, 2018",0,6,153,7.957,2,0,1555,3.34
